Localité;;"T19M3LV [°C]";"T19M3LV [%HR]"
02/08/2022;01:15:00;23,6;61,8
02/08/2022;01:30:00;23,7;61,6
02/08/2022;01:45:00;23,7;61,9
02/08/2022;02:00:00;23,7;62,1
02/08/2022;02:15:00;23,7;62,2
02/08/2022;02:30:00;23,6;61,9
02/08/2022;02:45:00;23,7;62,2
02/08/2022;03:00:00;23,7;61,8
02/08/2022;03:15:00;23,7;61,6
02/08/2022;03:30:00;23,7;61,9
02/08/2022;03:45:00;23,6;62,3
02/08/2022;04:00:00;23,6;62,4
02/08/2022;04:15:00;23,6;62,3
02/08/2022;04:30:00;23,6;62,1
02/08/2022;04:45:00;23,6;62,1
02/08/2022;05:00:00;23,6;62,2
02/08/2022;05:15:00;23,7;62,1
02/08/2022;05:30:00;23,7;62,1
02/08/2022;05:45:00;23,7;62,2
02/08/2022;06:00:00;23,6;62,0
02/08/2022;06:15:00;23,6;62,0
02/08/2022;06:30:00;23,6;61,9
02/08/2022;06:45:00;23,6;62,2
02/08/2022;07:00:00;23,6;62,3
02/08/2022;07:15:00;23,6;62,2
02/08/2022;07:30:00;23,6;61,9
02/08/2022;07:45:00;23,6;61,9
02/08/2022;08:00:00;23,6;61,7
02/08/2022;08:15:00;23,6;61,6
02/08/2022;08:30:00;23,6;61,5
02/08/2022;08:45:00;23,6;61,5
02/08/2022;09:00:00;23,6;61,4
02/08/2022;09:15:00;23,7;61,5
02/08/2022;09:30:00;23,7;61,4
02/08/2022;09:45:00;23,7;61,4
02/08/2022;10:00:00;23,2;59,9
02/08/2022;10:15:00;22,8;58,4
02/08/2022;10:30:00;22,7;58,3
02/08/2022;10:45:00;22,6;57,5
02/08/2022;11:00:00;22,8;62,9
02/08/2022;11:15:00;23,2;63,3
02/08/2022;11:30:00;23,3;63,0
02/08/2022;11:45:00;23,4;61,6
02/08/2022;12:00:00;23,4;62,1
02/08/2022;12:15:00;23,4;62,3
02/08/2022;12:30:00;23,4;62,0
02/08/2022;12:45:00;23,5;61,8
02/08/2022;13:00:00;23,5;61,9
02/08/2022;13:15:00;23,5;61,9
02/08/2022;13:30:00;23,6;62,6
02/08/2022;13:45:00;23,6;62,3
02/08/2022;14:00:00;23,6;62,0
02/08/2022;14:15:00;23,1;57,5
02/08/2022;14:30:00;22,7;58,4
02/08/2022;14:45:00;22,7;59,0
02/08/2022;15:00:00;22,6;57,4
02/08/2022;15:15:00;22,7;59,5
02/08/2022;15:30:00;23,3;62,2
02/08/2022;15:45:00;23,0;59,4
02/08/2022;16:00:00;22,8;63,3
02/08/2022;16:15:00;22,7;58,7
02/08/2022;16:30:00;22,6;59,3
02/08/2022;16:45:00;22,5;58,2
02/08/2022;17:00:00;22,9;59,2
02/08/2022;17:15:00;23,2;60,0
02/08/2022;17:30:00;23,3;59,0
02/08/2022;17:45:00;23,3;59,2
02/08/2022;18:00:00;23,3;59,7
02/08/2022;18:15:00;23,3;59,9
02/08/2022;18:30:00;23,3;60,3
02/08/2022;18:45:00;23,3;60,7
02/08/2022;19:00:00;23,4;60,8
02/08/2022;19:15:00;23,4;60,8
02/08/2022;19:30:00;23,4;60,5
02/08/2022;19:45:00;23,4;60,6
02/08/2022;20:00:00;23,4;60,7
02/08/2022;20:15:00;23,4;60,9
02/08/2022;20:30:00;23,5;61,0
02/08/2022;20:45:00;23,5;61,3
02/08/2022;21:00:00;23,5;61,6
02/08/2022;21:15:00;23,5;61,7
02/08/2022;21:30:00;23,5;61,8
02/08/2022;21:45:00;23,5;61,8
02/08/2022;22:00:00;23,5;62,0
02/08/2022;22:15:00;23,5;62,1
02/08/2022;22:30:00;23,5;62,2
02/08/2022;22:45:00;23,6;62,2
02/08/2022;23:00:00;23,6;62,5
02/08/2022;23:15:00;23,6;62,4
02/08/2022;23:30:00;23,6;62,6
02/08/2022;23:45:00;23,6;62,4
03/08/2022;00:00:00;23,6;62,5
03/08/2022;00:15:00;23,6;62,4
03/08/2022;00:30:00;23,6;62,5
03/08/2022;00:45:00;23,6;62,4
03/08/2022;01:00:00;23,6;62,5
03/08/2022;01:15:00;23,6;62,3
03/08/2022;01:30:00;23,6;62,5
03/08/2022;01:45:00;23,6;62,5
03/08/2022;02:00:00;23,6;62,6
03/08/2022;02:15:00;23,6;62,7
03/08/2022;02:30:00;23,6;62,5
03/08/2022;02:45:00;23,7;62,6
03/08/2022;03:00:00;23,7;62,6
03/08/2022;03:15:00;23,7;62,5
03/08/2022;03:30:00;23,7;62,4
03/08/2022;03:45:00;23,7;62,5
03/08/2022;04:00:00;23,7;62,5
03/08/2022;04:15:00;23,7;62,2
03/08/2022;04:30:00;23,7;62,5
03/08/2022;04:45:00;23,7;62,2
03/08/2022;05:00:00;23,7;62,2
03/08/2022;05:15:00;23,7;62,2
03/08/2022;05:30:00;23,7;62,2
03/08/2022;05:45:00;23,7;62,3
03/08/2022;06:00:00;23,7;62,5
03/08/2022;06:15:00;23,7;62,3
03/08/2022;06:30:00;23,7;62,3
03/08/2022;06:45:00;23,7;62,4
03/08/2022;07:00:00;23,7;62,3
03/08/2022;07:15:00;23,7;62,3
03/08/2022;07:30:00;23,7;62,3
03/08/2022;07:45:00;23,7;62,3
03/08/2022;08:00:00;23,7;62,5
03/08/2022;08:15:00;23,7;62,5
03/08/2022;08:30:00;23,7;62,4
03/08/2022;08:45:00;23,7;62,4
03/08/2022;09:00:00;23,7;62,4
03/08/2022;09:15:00;23,7;63,9
03/08/2022;09:30:00;23,1;59,7
03/08/2022;09:45:00;22,9;58,7
03/08/2022;10:00:00;22,9;57,6
03/08/2022;10:15:00;22,9;57,9
03/08/2022;10:30:00;22,8;57,6
03/08/2022;10:45:00;22,8;58,5
03/08/2022;11:00:00;22,8;56,0
03/08/2022;11:15:00;22,6;55,6
03/08/2022;11:30:00;22,6;57,6
03/08/2022;11:45:00;22,6;58,7
03/08/2022;12:00:00;22,9;59,9
03/08/2022;12:15:00;22,8;60,2
03/08/2022;12:30:00;22,8;60,0
03/08/2022;12:45:00;22,6;59,2
03/08/2022;13:00:00;22,6;59,7
03/08/2022;13:15:00;22,6;59,0
03/08/2022;13:30:00;22,6;59,8
03/08/2022;13:45:00;22,9;61,1
03/08/2022;14:00:00;22,8;60,0
03/08/2022;14:15:00;22,7;61,0
03/08/2022;14:30:00;22,9;61,3
03/08/2022;14:45:00;22,7;60,2
03/08/2022;15:00:00;22,5;58,2
03/08/2022;15:15:00;22,5;58,2
03/08/2022;15:30:00;22,7;57,3
03/08/2022;15:45:00;22,7;60,0
03/08/2022;16:00:00;22,8;59,5
03/08/2022;16:15:00;22,7;60,8
03/08/2022;16:30:00;22,4;57,1
03/08/2022;16:45:00;22,5;57,7
03/08/2022;17:00:00;22,3;55,3
03/08/2022;17:15:00;22,8;57,9
03/08/2022;17:30:00;23,0;58,2
03/08/2022;17:45:00;23,1;58,8
03/08/2022;18:00:00;23,2;59,5
03/08/2022;18:15:00;23,2;60,2
03/08/2022;18:30:00;23,3;60,8
03/08/2022;18:45:00;23,3;61,2
03/08/2022;19:00:00;23,3;61,5
03/08/2022;19:15:00;23,3;61,7
03/08/2022;19:30:00;23,4;61,9
03/08/2022;19:45:00;23,4;62,0
03/08/2022;20:00:00;23,4;62,0
03/08/2022;20:15:00;23,4;62,1
03/08/2022;20:30:00;23,4;62,2
03/08/2022;20:45:00;23,4;62,2
03/08/2022;21:00:00;23,5;62,2
03/08/2022;21:15:00;23,5;62,2
03/08/2022;21:30:00;23,5;62,2
03/08/2022;21:45:00;23,5;62,2
03/08/2022;22:00:00;23,5;62,2
03/08/2022;22:15:00;23,5;62,2
03/08/2022;22:30:00;23,5;62,2
03/08/2022;22:45:00;23,6;62,3
03/08/2022;23:00:00;23,6;62,3
03/08/2022;23:15:00;23,6;62,2
03/08/2022;23:30:00;23,6;62,2
03/08/2022;23:45:00;23,6;62,2
04/08/2022;00:00:00;23,6;62,1
04/08/2022;00:15:00;23,6;62,1
04/08/2022;00:30:00;23,6;62,0
04/08/2022;00:45:00;23,7;61,9
04/08/2022;01:00:00;23,7;62,0
04/08/2022;01:15:00;23,7;62,0
04/08/2022;01:30:00;23,7;61,9
04/08/2022;01:45:00;23,7;61,9
04/08/2022;02:00:00;23,7;61,9
04/08/2022;02:15:00;23,7;61,9
04/08/2022;02:30:00;23,7;61,8
04/08/2022;02:45:00;23,7;61,8
04/08/2022;03:00:00;23,8;61,8
04/08/2022;03:15:00;23,8;61,8
04/08/2022;03:30:00;23,8;61,8
04/08/2022;03:45:00;23,8;61,8
04/08/2022;04:00:00;23,8;61,9
04/08/2022;04:15:00;23,8;61,8
04/08/2022;04:30:00;23,8;61,8
04/08/2022;04:45:00;23,8;61,9
04/08/2022;05:00:00;23,8;61,9
04/08/2022;05:15:00;23,8;61,8
04/08/2022;05:30:00;23,8;61,8
04/08/2022;05:45:00;23,8;61,8
04/08/2022;06:00:00;23,8;61,8
04/08/2022;06:15:00;23,8;61,8
04/08/2022;06:30:00;23,9;61,9
04/08/2022;06:45:00;23,9;61,9
04/08/2022;07:00:00;23,9;61,9
04/08/2022;07:15:00;23,9;61,9
04/08/2022;07:30:00;23,9;62,2
04/08/2022;07:45:00;23,3;58,6
04/08/2022;08:00:00;22,9;56,6
04/08/2022;08:15:00;22,9;57,0
04/08/2022;08:30:00;22,8;55,6
04/08/2022;08:45:00;22,8;56,8
04/08/2022;09:00:00;22,8;59,8
04/08/2022;09:15:00;23,3;60,6
04/08/2022;09:30:00;23,5;59,7
04/08/2022;09:45:00;23,7;59,8
04/08/2022;10:00:00;23,7;60,2
04/08/2022;10:15:00;23,8;60,5
04/08/2022;10:30:00;23,8;60,8
04/08/2022;10:45:00;23,9;61,0
04/08/2022;11:00:00;23,8;61,3
04/08/2022;11:15:00;23,5;59,1
04/08/2022;11:30:00;23,3;62,2
04/08/2022;11:45:00;23,2;60,0
04/08/2022;12:00:00;23,2;61,0
04/08/2022;12:15:00;23,2;59,9
04/08/2022;12:30:00;23,2;61,3
04/08/2022;12:45:00;23,6;61,2
04/08/2022;13:00:00;23,8;61,3
04/08/2022;13:15:00;23,9;61,3
04/08/2022;13:30:00;23,8;61,0
04/08/2022;13:45:00;24,0;61,6
04/08/2022;14:00:00;23,9;62,4
04/08/2022;14:15:00;23,8;62,0
04/08/2022;14:30:00;23,9;62,0
04/08/2022;14:45:00;24,0;62,1
04/08/2022;15:00:00;24,0;61,7
04/08/2022;15:15:00;24,0;61,4
04/08/2022;15:30:00;24,0;61,5
04/08/2022;15:45:00;24,2;62,0
04/08/2022;16:00:00;24,2;62,1
04/08/2022;16:15:00;24,3;62,4
04/08/2022;16:30:00;24,4;62,5
04/08/2022;16:45:00;24,4;63,3
04/08/2022;17:00:00;24,2;61,5
04/08/2022;17:15:00;23,6;59,4
04/08/2022;17:30:00;24,0;60,4
04/08/2022;17:45:00;24,1;60,5
04/08/2022;18:00:00;24,3;60,4
04/08/2022;18:15:00;24,3;60,1
04/08/2022;18:30:00;24,2;60,3
04/08/2022;18:45:00;24,1;60,5
04/08/2022;19:00:00;24,1;60,6
04/08/2022;19:15:00;24,1;60,7
04/08/2022;19:30:00;24,1;60,8
04/08/2022;19:45:00;24,1;60,9
04/08/2022;20:00:00;24,1;60,9
04/08/2022;20:15:00;24,2;61,0
04/08/2022;20:30:00;24,2;61,1
04/08/2022;20:45:00;24,2;61,2
04/08/2022;21:00:00;24,2;61,2
04/08/2022;21:15:00;24,2;61,3
04/08/2022;21:30:00;24,2;61,4
04/08/2022;21:45:00;24,2;61,4
04/08/2022;22:00:00;24,2;61,4
04/08/2022;22:15:00;24,2;61,4
04/08/2022;22:30:00;24,2;61,4
04/08/2022;22:45:00;24,2;61,4
04/08/2022;23:00:00;24,3;61,4
04/08/2022;23:15:00;24,2;61,4
04/08/2022;23:30:00;24,3;61,3
04/08/2022;23:45:00;24,3;61,4
05/08/2022;00:00:00;24,3;61,4
05/08/2022;00:15:00;24,3;61,5
05/08/2022;00:30:00;24,3;61,4
05/08/2022;00:45:00;24,3;61,4
05/08/2022;01:00:00;24,3;61,5
05/08/2022;01:15:00;24,3;61,5
05/08/2022;01:30:00;24,3;61,6
05/08/2022;01:45:00;24,3;61,7
05/08/2022;02:00:00;24,3;61,7
05/08/2022;02:15:00;24,3;61,7
05/08/2022;02:30:00;24,3;61,8
05/08/2022;02:45:00;24,3;61,8
05/08/2022;03:00:00;24,3;61,7
05/08/2022;03:15:00;24,3;61,7
05/08/2022;03:30:00;24,3;61,7
05/08/2022;03:45:00;24,3;61,7
05/08/2022;04:00:00;24,3;61,7
05/08/2022;04:15:00;24,3;61,7
05/08/2022;04:30:00;24,3;61,7
05/08/2022;04:45:00;24,3;61,8
05/08/2022;05:00:00;24,3;61,7
05/08/2022;05:15:00;24,3;61,7
05/08/2022;05:30:00;24,4;61,7
05/08/2022;05:45:00;24,3;61,7
05/08/2022;06:00:00;24,3;61,7
05/08/2022;06:15:00;24,4;61,8
05/08/2022;06:30:00;24,4;61,8
05/08/2022;06:45:00;24,4;61,8
05/08/2022;07:00:00;24,4;61,8
05/08/2022;07:15:00;24,4;61,8
05/08/2022;07:30:00;24,4;61,8
05/08/2022;07:45:00;24,4;61,8
05/08/2022;08:00:00;24,4;61,9
05/08/2022;08:15:00;24,4;61,9
05/08/2022;08:30:00;24,4;61,9
05/08/2022;08:45:00;24,4;61,9
05/08/2022;09:00:00;24,4;61,9
05/08/2022;09:15:00;24,0;60,6
05/08/2022;09:30:00;23,5;57,5
05/08/2022;09:45:00;23,3;56,7
05/08/2022;10:00:00;23,1;55,3
05/08/2022;10:15:00;23,0;54,2
05/08/2022;10:30:00;23,0;54,6
05/08/2022;10:45:00;23,1;52,8
05/08/2022;11:00:00;23,0;53,7
05/08/2022;11:15:00;23,0;52,4
05/08/2022;11:30:00;22,9;50,4
05/08/2022;11:45:00;22,6;51,6
05/08/2022;12:00:00;22,6;52,3
05/08/2022;12:15:00;22,6;52,1
05/08/2022;12:30:00;22,6;52,0
05/08/2022;12:45:00;22,7;52,3
05/08/2022;13:00:00;22,7;51,0
05/08/2022;13:15:00;22,6;50,6
05/08/2022;13:30:00;22,6;52,2
05/08/2022;13:45:00;22,6;50,5
05/08/2022;14:00:00;22,6;50,1
05/08/2022;14:15:00;22,5;52,2
05/08/2022;14:30:00;22,6;52,6
05/08/2022;14:45:00;22,5;49,9
05/08/2022;15:00:00;22,3;51,6
05/08/2022;15:15:00;22,3;53,4
05/08/2022;15:30:00;22,3;52,5
05/08/2022;15:45:00;22,3;50,6
05/08/2022;16:00:00;22,2;49,5
05/08/2022;16:15:00;22,1;50,9
05/08/2022;16:30:00;22,2;54,3
05/08/2022;16:45:00;22,2;51,7
05/08/2022;17:00:00;22,2;54,0
05/08/2022;17:15:00;22,3;61,6
05/08/2022;17:30:00;22,4;62,8
05/08/2022;17:45:00;22,5;60,6
05/08/2022;18:00:00;22,4;55,6
05/08/2022;18:15:00;22,3;56,0
05/08/2022;18:30:00;22,2;55,3
05/08/2022;18:45:00;22,1;57,0
05/08/2022;19:00:00;22,5;54,8
05/08/2022;19:15:00;22,7;54,9
05/08/2022;19:30:00;22,8;54,7
05/08/2022;19:45:00;22,9;54,6
05/08/2022;20:00:00;22,9;54,5
05/08/2022;20:15:00;22,9;54,7
05/08/2022;20:30:00;23,0;54,8
05/08/2022;20:45:00;23,0;55,0
05/08/2022;21:00:00;23,0;55,0
05/08/2022;21:15:00;23,0;54,9
05/08/2022;21:30:00;23,1;55,4
05/08/2022;21:45:00;23,1;55,2
05/08/2022;22:00:00;23,1;55,2
05/08/2022;22:15:00;23,1;55,1
05/08/2022;22:30:00;23,1;55,3
05/08/2022;22:45:00;23,2;55,4
05/08/2022;23:00:00;23,2;55,3
05/08/2022;23:15:00;23,2;55,3
05/08/2022;23:30:00;23,2;55,3
05/08/2022;23:45:00;23,2;55,5
06/08/2022;00:00:00;23,2;55,5
06/08/2022;00:15:00;23,2;55,5
06/08/2022;00:30:00;23,2;55,6
06/08/2022;00:45:00;23,3;55,6
06/08/2022;01:00:00;23,3;55,6
06/08/2022;01:15:00;23,3;55,7
06/08/2022;01:30:00;23,3;55,7
06/08/2022;01:45:00;23,3;55,8
06/08/2022;02:00:00;23,3;55,8
06/08/2022;02:15:00;23,3;55,9
06/08/2022;02:30:00;23,3;55,9
06/08/2022;02:45:00;23,4;55,9
06/08/2022;03:00:00;23,4;56,0
06/08/2022;03:15:00;23,4;56,1
06/08/2022;03:30:00;23,4;56,1
06/08/2022;03:45:00;23,4;56,2
06/08/2022;04:00:00;23,4;56,2
06/08/2022;04:15:00;23,4;56,3
06/08/2022;04:30:00;23,4;56,5
06/08/2022;04:45:00;23,4;56,4
06/08/2022;05:00:00;23,4;56,4
06/08/2022;05:15:00;23,4;56,4
06/08/2022;05:30:00;23,4;56,5
06/08/2022;05:45:00;23,4;56,5
06/08/2022;06:00:00;23,4;56,6
06/08/2022;06:15:00;23,4;56,7
06/08/2022;06:30:00;23,4;56,8
06/08/2022;06:45:00;23,5;56,9
06/08/2022;07:00:00;23,5;56,9
06/08/2022;07:15:00;23,5;57,0
06/08/2022;07:30:00;23,5;57,0
06/08/2022;07:45:00;23,5;57,0
06/08/2022;08:00:00;23,5;57,0
06/08/2022;08:15:00;23,5;57,0
06/08/2022;08:30:00;23,5;57,0
06/08/2022;08:45:00;23,5;57,1
06/08/2022;09:00:00;23,5;57,1
06/08/2022;09:15:00;23,5;57,2
06/08/2022;09:30:00;23,5;58,7
06/08/2022;09:45:00;22,8;52,3
06/08/2022;10:00:00;22,4;52,4
06/08/2022;10:15:00;22,3;52,8
06/08/2022;10:30:00;22,2;52,2
06/08/2022;10:45:00;22,1;52,2
06/08/2022;11:00:00;22,0;51,3
06/08/2022;11:15:00;22,0;50,5
06/08/2022;11:30:00;21,9;50,4
06/08/2022;11:45:00;21,8;50,3
06/08/2022;12:00:00;21,9;50,0
06/08/2022;12:15:00;21,9;52,7
06/08/2022;12:30:00;21,9;53,7
06/08/2022;12:45:00;21,8;53,5
06/08/2022;13:00:00;21,7;52,8
06/08/2022;13:15:00;21,6;51,5
06/08/2022;13:30:00;21,6;50,1
06/08/2022;13:45:00;21,6;49,6
06/08/2022;14:00:00;21,5;49,5
06/08/2022;14:15:00;21,6;51,7
06/08/2022;14:30:00;21,6;54,3
06/08/2022;14:45:00;21,5;53,3
06/08/2022;15:00:00;21,5;52,2
06/08/2022;15:15:00;21,5;53,4
06/08/2022;15:30:00;21,4;52,8
06/08/2022;15:45:00;21,4;51,7
06/08/2022;16:00:00;21,3;50,3
06/08/2022;16:15:00;21,4;50,6
06/08/2022;16:30:00;21,5;52,1
06/08/2022;16:45:00;21,9;51,9
06/08/2022;17:00:00;22,1;52,7
06/08/2022;17:15:00;22,3;52,9
06/08/2022;17:30:00;22,3;53,3
06/08/2022;17:45:00;22,4;53,8
06/08/2022;18:00:00;22,5;54,3
06/08/2022;18:15:00;22,5;54,8
06/08/2022;18:30:00;22,5;55,2
06/08/2022;18:45:00;22,5;55,6
06/08/2022;19:00:00;22,6;56,0
06/08/2022;19:15:00;22,6;56,4
06/08/2022;19:30:00;22,6;56,7
06/08/2022;19:45:00;22,6;56,8
06/08/2022;20:00:00;22,7;57,0
06/08/2022;20:15:00;22,7;57,1
06/08/2022;20:30:00;22,7;57,1
06/08/2022;20:45:00;22,7;57,1
06/08/2022;21:00:00;22,8;57,0
06/08/2022;21:15:00;22,8;56,9
06/08/2022;21:30:00;22,8;57,0
06/08/2022;21:45:00;22,8;57,0
06/08/2022;22:00:00;22,8;57,1
06/08/2022;22:15:00;22,8;57,2
06/08/2022;22:30:00;22,9;57,3
06/08/2022;22:45:00;22,9;57,2
06/08/2022;23:00:00;22,9;57,2
06/08/2022;23:15:00;22,9;57,1
06/08/2022;23:30:00;22,9;57,2
06/08/2022;23:45:00;22,9;57,2
07/08/2022;00:00:00;22,9;57,2
07/08/2022;00:15:00;22,9;57,2
07/08/2022;00:30:00;23,0;57,3
07/08/2022;00:45:00;23,0;57,4
07/08/2022;01:00:00;23,0;57,4
07/08/2022;01:15:00;23,0;57,5
07/08/2022;01:30:00;23,0;57,6
07/08/2022;01:45:00;23,0;57,6
07/08/2022;02:00:00;23,0;57,6
07/08/2022;02:15:00;23,0;57,7
07/08/2022;02:30:00;23,1;57,8
07/08/2022;02:45:00;23,1;57,8
07/08/2022;03:00:00;23,1;57,9
07/08/2022;03:15:00;23,1;58,1
07/08/2022;03:30:00;23,1;58,2
07/08/2022;03:45:00;23,1;58,3
07/08/2022;04:00:00;23,1;58,4
07/08/2022;04:15:00;23,1;58,4
07/08/2022;04:30:00;23,1;58,4
07/08/2022;04:45:00;23,1;58,5
07/08/2022;05:00:00;23,1;58,5
07/08/2022;05:15:00;23,1;58,5
07/08/2022;05:30:00;23,2;58,3
07/08/2022;05:45:00;23,2;58,3
07/08/2022;06:00:00;23,2;58,4
07/08/2022;06:15:00;23,2;58,4
07/08/2022;06:30:00;23,2;58,7
07/08/2022;06:45:00;23,2;59,0
07/08/2022;07:00:00;23,2;59,0
07/08/2022;07:15:00;23,2;59,1
07/08/2022;07:30:00;23,2;58,7
07/08/2022;07:45:00;23,2;58,5
07/08/2022;08:00:00;23,2;58,5
07/08/2022;08:15:00;23,2;58,4
07/08/2022;08:30:00;23,2;58,4
07/08/2022;08:45:00;23,2;58,4
07/08/2022;09:00:00;23,2;58,4
07/08/2022;09:15:00;23,2;58,4
07/08/2022;09:30:00;23,2;58,4
07/08/2022;09:45:00;23,2;58,5
07/08/2022;10:00:00;23,3;58,5
07/08/2022;10:15:00;23,3;58,6
07/08/2022;10:30:00;23,2;60,6
07/08/2022;10:45:00;22,5;53,8
07/08/2022;11:00:00;22,2;54,5
07/08/2022;11:15:00;22,1;53,6
07/08/2022;11:30:00;22,0;54,5
07/08/2022;11:45:00;21,9;53,7
07/08/2022;12:00:00;21,9;53,1
07/08/2022;12:15:00;21,8;51,8
07/08/2022;12:30:00;21,7;51,8
07/08/2022;12:45:00;21,7;51,2
07/08/2022;13:00:00;21,6;51,0
07/08/2022;13:15:00;21,6;51,1
07/08/2022;13:30:00;21,6;50,1
07/08/2022;13:45:00;21,7;54,2
07/08/2022;14:00:00;21,6;52,4
07/08/2022;14:15:00;21,5;51,3
07/08/2022;14:30:00;21,5;53,4
07/08/2022;14:45:00;21,5;52,1
07/08/2022;15:00:00;21,4;53,0
07/08/2022;15:15:00;21,4;51,8
07/08/2022;15:30:00;21,3;51,9
07/08/2022;15:45:00;21,3;49,9
07/08/2022;16:00:00;21,3;50,1
07/08/2022;16:15:00;21,4;50,7
07/08/2022;16:30:00;21,4;52,2
07/08/2022;16:45:00;21,8;51,3
07/08/2022;17:00:00;22,0;51,1
07/08/2022;17:15:00;22,2;51,2
07/08/2022;17:30:00;22,3;51,6
07/08/2022;17:45:00;22,3;51,9
07/08/2022;18:00:00;22,4;52,3
07/08/2022;18:15:00;22,4;52,7
07/08/2022;18:30:00;22,4;53,0
07/08/2022;18:45:00;22,5;53,4
07/08/2022;19:00:00;22,5;53,6
07/08/2022;19:15:00;22,5;53,8
07/08/2022;19:30:00;22,6;54,0
07/08/2022;19:45:00;22,6;54,1
07/08/2022;20:00:00;22,6;54,3
07/08/2022;20:15:00;22,6;54,4
